
> gildedtros@1.0.0 prestart
> npm run build


> gildedtros@1.0.0 build
> tsc


> gildedtros@1.0.0 start
> node dist/test/text-test-fixture.js 500

AXXES CODE KATA - GILDED TROS
-------- day 0 --------
name, sellIn, quality
name, sellIn, quality
Ring of Cleansening Code, 0, 10
Good Wine, -8, 18
Elixir of the SOLID, -5, 0
B-DAWG Keychain, 0, 80
B-DAWG Keychain, -1, 80
Backstage passes for Re:Factor, 5, 35
Backstage passes for Re:Factor, 0, 50
Backstage passes for HAXX, -5, 0
Duplicate Code, -7, 0
Long Methods, -7, 0
Ugly Variable Names, -7, 0

-------- day 11 --------
name, sellIn, quality
Ring of Cleansening Code, -1, 8
Good Wine, -9, 20
Elixir of the SOLID, -6, 0
B-DAWG Keychain, 0, 80
B-DAWG Keychain, -1, 80
Backstage passes for Re:Factor, 4, 38
Backstage passes for Re:Factor, -1, 0
Backstage passes for HAXX, -6, 0
Duplicate Code, -8, 0
Long Methods, -8, 0
Ugly Variable Names, -8, 0

-------- day 12 --------
name, sellIn, quality
Ring of Cleansening Code, -2, 6
Good Wine, -10, 22
Elixir of the SOLID, -7, 0
B-DAWG Keychain, 0, 80
B-DAWG Keychain, -1, 80
Backstage passes for Re:Factor, 3, 41
Backstage passes for Re:Factor, -2, 0
Backstage passes for HAXX, -7, 0
Duplicate Code, -9, 0
Long Methods, -9, 0
Ugly Variable Names, -9, 0

-------- day 13 --------
name, sellIn, quality
Ring of Cleansening Code, -3, 4
Good Wine, -11, 24
Elixir of the SOLID, -8, 0
B-DAWG Keychain, 0, 80
B-DAWG Keychain, -1, 80
Backstage passes for Re:Factor, 2, 44
Backstage passes for Re:Factor, -3, 0
Backstage passes for HAXX, -8, 0
Duplicate Code, -10, 0
Long Methods, -10, 0
Ugly Variable Names, -10, 0

-------- day 14 --------
name, sellIn, quality
Ring of Cleansening Code, -4, 2
Good Wine, -12, 26
Elixir of the SOLID, -9, 0
B-DAWG Keychain, 0, 80
B-DAWG Keychain, -1, 80
Backstage passes for Re:Factor, 1, 47
Backstage passes for Re:Factor, -4, 0
Backstage passes for HAXX, -9, 0
Duplicate Code, -11, 0
Long Methods, -11, 0
Ugly Variable Names, -11, 0

-------- day 15 --------
name, sellIn, quality
Ring of Cleansening Code, -5, 0
Good Wine, -13, 28
Elixir of the SOLID, -10, 0
B-DAWG Keychain, 0, 80
B-DAWG Keychain, -1, 80
Backstage passes for Re:Factor, 0, 50
Backstage passes for Re:Factor, -5, 0
Backstage passes for HAXX, -10, 0
Duplicate Code, -12, 0
Long Methods, -12, 0
Ugly Variable Names, -12, 0

-------- day 16 --------
name, sellIn, quality
Ring of Cleansening Code, -6, 0
Good Wine, -14, 30
Elixir of the SOLID, -11, 0
B-DAWG Keychain, 0, 80
B-DAWG Keychain, -1, 80
Backstage passes for Re:Factor, -1, 0
Backstage passes for Re:Factor, -6, 0
Backstage passes for HAXX, -11, 0
Duplicate Code, -13, 0
Long Methods, -13, 0
Ugly Variable Names, -13, 0

-------- day 17 --------
name, sellIn, quality
Ring of Cleansening Code, -7, 0
Good Wine, -15, 32
Elixir of the SOLID, -12, 0
B-DAWG Keychain, 0, 80
B-DAWG Keychain, -1, 80
Backstage passes for Re:Factor, -2, 0
Backstage passes for Re:Factor, -7, 0
Backstage passes for HAXX, -12, 0
Duplicate Code, -14, 0
Long Methods, -14, 0
Ugly Variable Names, -14, 0

-------- day 18 --------
name, sellIn, quality
Ring of Cleansening Code, -8, 0
Good Wine, -16, 34
Elixir of the SOLID, -13, 0
B-DAWG Keychain, 0, 80
B-DAWG Keychain, -1, 80
Backstage passes for Re:Factor, -3, 0
Backstage passes for Re:Factor, -8, 0
Backstage passes for HAXX, -13, 0
Duplicate Code, -15, 0
Long Methods, -15, 0
Ugly Variable Names, -15, 0

-------- day 19 --------
name, sellIn, quality
Ring of Cleansening Code, -9, 0
Good Wine, -17, 36
Elixir of the SOLID, -14, 0
B-DAWG Keychain, 0, 80
B-DAWG Keychain, -1, 80
Backstage passes for Re:Factor, -4, 0
Backstage passes for Re:Factor, -9, 0
Backstage passes for HAXX, -14, 0
Duplicate Code, -16, 0
Long Methods, -16, 0
Ugly Variable Names, -16, 0

-------- day 20 --------
name, sellIn, quality
Ring of Cleansening Code, -10, 0
Good Wine, -18, 38
Elixir of the SOLID, -15, 0
B-DAWG Keychain, 0, 80
B-DAWG Keychain, -1, 80
Backstage passes for Re:Factor, -5, 0
Backstage passes for Re:Factor, -10, 0
Backstage passes for HAXX, -15, 0
Duplicate Code, -17, 0
Long Methods, -17, 0
Ugly Variable Names, -17, 0

-------- day 21 --------
name, sellIn, quality
Ring of Cleansening Code, -11, 0
Good Wine, -19, 40
Elixir of the SOLID, -16, 0
B-DAWG Keychain, 0, 80
B-DAWG Keychain, -1, 80
Backstage passes for Re:Factor, -6, 0
Backstage passes for Re:Factor, -11, 0
Backstage passes for HAXX, -16, 0
Duplicate Code, -18, 0
Long Methods, -18, 0
Ugly Variable Names, -18, 0

-------- day 22 --------
name, sellIn, quality
Ring of Cleansening Code, -12, 0
Good Wine, -20, 42
Elixir of the SOLID, -17, 0
B-DAWG Keychain, 0, 80
B-DAWG Keychain, -1, 80
Backstage passes for Re:Factor, -7, 0
Backstage passes for Re:Factor, -12, 0
Backstage passes for HAXX, -17, 0
Duplicate Code, -19, 0
Long Methods, -19, 0
Ugly Variable Names, -19, 0

-------- day 23 --------
name, sellIn, quality
Ring of Cleansening Code, -13, 0
Good Wine, -21, 44
Elixir of the SOLID, -18, 0
B-DAWG Keychain, 0, 80
B-DAWG Keychain, -1, 80
Backstage passes for Re:Factor, -8, 0
Backstage passes for Re:Factor, -13, 0
Backstage passes for HAXX, -18, 0
Duplicate Code, -20, 0
Long Methods, -20, 0
Ugly Variable Names, -20, 0

-------- day 24 --------
name, sellIn, quality
Ring of Cleansening Code, -14, 0
Good Wine, -22, 46
Elixir of the SOLID, -19, 0
B-DAWG Keychain, 0, 80
B-DAWG Keychain, -1, 80
Backstage passes for Re:Factor, -9, 0
Backstage passes for Re:Factor, -14, 0
Backstage passes for HAXX, -19, 0
Duplicate Code, -21, 0
Long Methods, -21, 0
Ugly Variable Names, -21, 0

-------- day 25 --------
name, sellIn, quality
Ring of Cleansening Code, -15, 0
Good Wine, -23, 48
Elixir of the SOLID, -20, 0
B-DAWG Keychain, 0, 80
B-DAWG Keychain, -1, 80
Backstage passes for Re:Factor, -10, 0
Backstage passes for Re:Factor, -15, 0
Backstage passes for HAXX, -20, 0
Duplicate Code, -22, 0
Long Methods, -22, 0
Ugly Variable Names, -22, 0

-------- day 26 --------
name, sellIn, quality
Ring of Cleansening Code, -16, 0
Good Wine, -24, 50
Elixir of the SOLID, -21, 0
B-DAWG Keychain, 0, 80
B-DAWG Keychain, -1, 80
Backstage passes for Re:Factor, -11, 0
Backstage passes for Re:Factor, -16, 0
Backstage passes for HAXX, -21, 0
Duplicate Code, -23, 0
Long Methods, -23, 0
Ugly Variable Names, -23, 0

-------- day 27 --------
name, sellIn, quality
Ring of Cleansening Code, -17, 0
Good Wine, -25, 50
Elixir of the SOLID, -22, 0
B-DAWG Keychain, 0, 80
B-DAWG Keychain, -1, 80
Backstage passes for Re:Factor, -12, 0
Backstage passes for Re:Factor, -17, 0
Backstage passes for HAXX, -22, 0
Duplicate Code, -24, 0
Long Methods, -24, 0
Ugly Variable Names, -24, 0

-------- day 28 --------
name, sellIn, quality
Ring of Cleansening Code, -18, 0
Good Wine, -26, 50
Elixir of the SOLID, -23, 0
B-DAWG Keychain, 0, 80
B-DAWG Keychain, -1, 80
Backstage passes for Re:Factor, -13, 0
Backstage passes for Re:Factor, -18, 0
Backstage passes for HAXX, -23, 0
Duplicate Code, -25, 0
Long Methods, -25, 0
Ugly Variable Names, -25, 0

-------- day 29 --------
name, sellIn, quality
Ring of Cleansening Code, -19, 0
Good Wine, -27, 50
Elixir of the SOLID, -24, 0
B-DAWG Keychain, 0, 80
B-DAWG Keychain, -1, 80
Backstage passes for Re:Factor, -14, 0
Backstage passes for Re:Factor, -19, 0
Backstage passes for HAXX, -24, 0
Duplicate Code, -26, 0
Long Methods, -26, 0
Ugly Variable Names, -26, 0

-------- day 30 --------
name, sellIn, quality
Ring of Cleansening Code, -20, 0
Good Wine, -28, 50
Elixir of the SOLID, -25, 0
B-DAWG Keychain, 0, 80
B-DAWG Keychain, -1, 80
Backstage passes for Re:Factor, -15, 0
Backstage passes for Re:Factor, -20, 0
Backstage passes for HAXX, -25, 0
Duplicate Code, -27, 0
Long Methods, -27, 0
Ugly Variable Names, -27, 0

-------- day 31 --------
name, sellIn, quality
Ring of Cleansening Code, -21, 0
Good Wine, -29, 50
Elixir of the SOLID, -26, 0
B-DAWG Keychain, 0, 80
B-DAWG Keychain, -1, 80
Backstage passes for Re:Factor, -16, 0
Backstage passes for Re:Factor, -21, 0
Backstage passes for HAXX, -26, 0
Duplicate Code, -28, 0
Long Methods, -28, 0
Ugly Variable Names, -28, 0

-------- day 32 --------
name, sellIn, quality
Ring of Cleansening Code, -22, 0
Good Wine, -30, 50
Elixir of the SOLID, -27, 0
B-DAWG Keychain, 0, 80
B-DAWG Keychain, -1, 80
Backstage passes for Re:Factor, -17, 0
Backstage passes for Re:Factor, -22, 0
Backstage passes for HAXX, -27, 0
Duplicate Code, -29, 0
Long Methods, -29, 0
Ugly Variable Names, -29, 0

-------- day 33 --------
name, sellIn, quality
Ring of Cleansening Code, -23, 0
Good Wine, -31, 50
Elixir of the SOLID, -28, 0
B-DAWG Keychain, 0, 80
B-DAWG Keychain, -1, 80
Backstage passes for Re:Factor, -18, 0
Backstage passes for Re:Factor, -23, 0
Backstage passes for HAXX, -28, 0
Duplicate Code, -30, 0
Long Methods, -30, 0
Ugly Variable Names, -30, 0

-------- day 34 --------
name, sellIn, quality
Ring of Cleansening Code, -24, 0
Good Wine, -32, 50
Elixir of the SOLID, -29, 0
B-DAWG Keychain, 0, 80
B-DAWG Keychain, -1, 80
Backstage passes for Re:Factor, -19, 0
Backstage passes for Re:Factor, -24, 0
Backstage passes for HAXX, -29, 0
Duplicate Code, -31, 0
Long Methods, -31, 0
Ugly Variable Names, -31, 0

-------- day 35 --------
name, sellIn, quality
Ring of Cleansening Code, -25, 0
Good Wine, -33, 50
Elixir of the SOLID, -30, 0
B-DAWG Keychain, 0, 80
B-DAWG Keychain, -1, 80
Backstage passes for Re:Factor, -20, 0
Backstage passes for Re:Factor, -25, 0
Backstage passes for HAXX, -30, 0
Duplicate Code, -32, 0
Long Methods, -32, 0
Ugly Variable Names, -32, 0

-------- day 36 --------
name, sellIn, quality
Ring of Cleansening Code, -26, 0
Good Wine, -34, 50
Elixir of the SOLID, -31, 0
B-DAWG Keychain, 0, 80
B-DAWG Keychain, -1, 80
Backstage passes for Re:Factor, -21, 0
Backstage passes for Re:Factor, -26, 0
Backstage passes for HAXX, -31, 0
Duplicate Code, -33, 0
Long Methods, -33, 0
Ugly Variable Names, -33, 0

-------- day 37 --------
name, sellIn, quality
Ring of Cleansening Code, -27, 0
Good Wine, -35, 50
Elixir of the SOLID, -32, 0
B-DAWG Keychain, 0, 80
B-DAWG Keychain, -1, 80
Backstage passes for Re:Factor, -22, 0
Backstage passes for Re:Factor, -27, 0
Backstage passes for HAXX, -32, 0
Duplicate Code, -34, 0
Long Methods, -34, 0
Ugly Variable Names, -34, 0

-------- day 38 --------
name, sellIn, quality
Ring of Cleansening Code, -28, 0
Good Wine, -36, 50
Elixir of the SOLID, -33, 0
B-DAWG Keychain, 0, 80
B-DAWG Keychain, -1, 80
Backstage passes for Re:Factor, -23, 0
Backstage passes for Re:Factor, -28, 0
Backstage passes for HAXX, -33, 0
Duplicate Code, -35, 0
Long Methods, -35, 0
Ugly Variable Names, -35, 0

-------- day 39 --------
name, sellIn, quality
Ring of Cleansening Code, -29, 0
Good Wine, -37, 50
Elixir of the SOLID, -34, 0
B-DAWG Keychain, 0, 80
B-DAWG Keychain, -1, 80
Backstage passes for Re:Factor, -24, 0
Backstage passes for Re:Factor, -29, 0
Backstage passes for HAXX, -34, 0
Duplicate Code, -36, 0
Long Methods, -36, 0
Ugly Variable Names, -36, 0

-------- day 40 --------
name, sellIn, quality
Ring of Cleansening Code, -30, 0
Good Wine, -38, 50
Elixir of the SOLID, -35, 0
B-DAWG Keychain, 0, 80
B-DAWG Keychain, -1, 80
Backstage passes for Re:Factor, -25, 0
Backstage passes for Re:Factor, -30, 0
Backstage passes for HAXX, -35, 0
Duplicate Code, -37, 0
Long Methods, -37, 0
Ugly Variable Names, -37, 0

-------- day 41 --------
name, sellIn, quality
Ring of Cleansening Code, -31, 0
Good Wine, -39, 50
Elixir of the SOLID, -36, 0
B-DAWG Keychain, 0, 80
B-DAWG Keychain, -1, 80
Backstage passes for Re:Factor, -26, 0
Backstage passes for Re:Factor, -31, 0
Backstage passes for HAXX, -36, 0
Duplicate Code, -38, 0
Long Methods, -38, 0
Ugly Variable Names, -38, 0

-------- day 42 --------
name, sellIn, quality
Ring of Cleansening Code, -32, 0
Good Wine, -40, 50
Elixir of the SOLID, -37, 0
B-DAWG Keychain, 0, 80
B-DAWG Keychain, -1, 80
Backstage passes for Re:Factor, -27, 0
Backstage passes for Re:Factor, -32, 0
Backstage passes for HAXX, -37, 0
Duplicate Code, -39, 0
Long Methods, -39, 0
Ugly Variable Names, -39, 0

-------- day 43 --------
name, sellIn, quality
Ring of Cleansening Code, -33, 0
Good Wine, -41, 50
Elixir of the SOLID, -38, 0
B-DAWG Keychain, 0, 80
B-DAWG Keychain, -1, 80
Backstage passes for Re:Factor, -28, 0
Backstage passes for Re:Factor, -33, 0
Backstage passes for HAXX, -38, 0
Duplicate Code, -40, 0
Long Methods, -40, 0
Ugly Variable Names, -40, 0

-------- day 44 --------
name, sellIn, quality
Ring of Cleansening Code, -34, 0
Good Wine, -42, 50
Elixir of the SOLID, -39, 0
B-DAWG Keychain, 0, 80
B-DAWG Keychain, -1, 80
Backstage passes for Re:Factor, -29, 0
Backstage passes for Re:Factor, -34, 0
Backstage passes for HAXX, -39, 0
Duplicate Code, -41, 0
Long Methods, -41, 0
Ugly Variable Names, -41, 0

-------- day 45 --------
name, sellIn, quality
Ring of Cleansening Code, -35, 0
Good Wine, -43, 50
Elixir of the SOLID, -40, 0
B-DAWG Keychain, 0, 80
B-DAWG Keychain, -1, 80
Backstage passes for Re:Factor, -30, 0
Backstage passes for Re:Factor, -35, 0
Backstage passes for HAXX, -40, 0
Duplicate Code, -42, 0
Long Methods, -42, 0
Ugly Variable Names, -42, 0

-------- day 46 --------
name, sellIn, quality
Ring of Cleansening Code, -36, 0
Good Wine, -44, 50
Elixir of the SOLID, -41, 0
B-DAWG Keychain, 0, 80
B-DAWG Keychain, -1, 80
Backstage passes for Re:Factor, -31, 0
Backstage passes for Re:Factor, -36, 0
Backstage passes for HAXX, -41, 0
Duplicate Code, -43, 0
Long Methods, -43, 0
Ugly Variable Names, -43, 0

-------- day 47 --------
name, sellIn, quality
Ring of Cleansening Code, -37, 0
Good Wine, -45, 50
Elixir of the SOLID, -42, 0
B-DAWG Keychain, 0, 80
B-DAWG Keychain, -1, 80
Backstage passes for Re:Factor, -32, 0
Backstage passes for Re:Factor, -37, 0
Backstage passes for HAXX, -42, 0
Duplicate Code, -44, 0
Long Methods, -44, 0
Ugly Variable Names, -44, 0

-------- day 48 --------
name, sellIn, quality
Ring of Cleansening Code, -38, 0
Good Wine, -46, 50
Elixir of the SOLID, -43, 0
B-DAWG Keychain, 0, 80
B-DAWG Keychain, -1, 80
Backstage passes for Re:Factor, -33, 0
Backstage passes for Re:Factor, -38, 0
Backstage passes for HAXX, -43, 0
Duplicate Code, -45, 0
Long Methods, -45, 0
Ugly Variable Names, -45, 0

-------- day 49 --------
name, sellIn, quality
Ring of Cleansening Code, -39, 0
Good Wine, -47, 50
Elixir of the SOLID, -44, 0
B-DAWG Keychain, 0, 80
B-DAWG Keychain, -1, 80
Backstage passes for Re:Factor, -34, 0
Backstage passes for Re:Factor, -39, 0
Backstage passes for HAXX, -44, 0
Duplicate Code, -46, 0
Long Methods, -46, 0
Ugly Variable Names, -46, 0

-------- day 50 --------
name, sellIn, quality
Ring of Cleansening Code, -40, 0
Good Wine, -48, 50
Elixir of the SOLID, -45, 0
B-DAWG Keychain, 0, 80
B-DAWG Keychain, -1, 80
Backstage passes for Re:Factor, -35, 0
Backstage passes for Re:Factor, -40, 0
Backstage passes for HAXX, -45, 0
Duplicate Code, -47, 0
Long Methods, -47, 0
Ugly Variable Names, -47, 0

-------- day 51 --------
name, sellIn, quality
Ring of Cleansening Code, -41, 0
Good Wine, -49, 50
Elixir of the SOLID, -46, 0
B-DAWG Keychain, 0, 80
B-DAWG Keychain, -1, 80
Backstage passes for Re:Factor, -36, 0
Backstage passes for Re:Factor, -41, 0
Backstage passes for HAXX, -46, 0
Duplicate Code, -48, 0
Long Methods, -48, 0
Ugly Variable Names, -48, 0

-------- day 52 --------
name, sellIn, quality
Ring of Cleansening Code, -42, 0
Good Wine, -50, 50
Elixir of the SOLID, -47, 0
B-DAWG Keychain, 0, 80
B-DAWG Keychain, -1, 80
Backstage passes for Re:Factor, -37, 0
Backstage passes for Re:Factor, -42, 0
Backstage passes for HAXX, -47, 0
Duplicate Code, -49, 0
Long Methods, -49, 0
Ugly Variable Names, -49, 0

-------- day 53 --------
name, sellIn, quality
Ring of Cleansening Code, -43, 0
Good Wine, -51, 50
Elixir of the SOLID, -48, 0
B-DAWG Keychain, 0, 80
B-DAWG Keychain, -1, 80
Backstage passes for Re:Factor, -38, 0
Backstage passes for Re:Factor, -43, 0
Backstage passes for HAXX, -48, 0
Duplicate Code, -50, 0
Long Methods, -50, 0
Ugly Variable Names, -50, 0

-------- day 54 --------
name, sellIn, quality
Ring of Cleansening Code, -44, 0
Good Wine, -52, 50
Elixir of the SOLID, -49, 0
B-DAWG Keychain, 0, 80
B-DAWG Keychain, -1, 80
Backstage passes for Re:Factor, -39, 0
Backstage passes for Re:Factor, -44, 0
Backstage passes for HAXX, -49, 0
Duplicate Code, -51, 0
Long Methods, -51, 0
Ugly Variable Names, -51, 0

-------- day 55 --------
name, sellIn, quality
Ring of Cleansening Code, -45, 0
Good Wine, -53, 50
Elixir of the SOLID, -50, 0
B-DAWG Keychain, 0, 80
B-DAWG Keychain, -1, 80
Backstage passes for Re:Factor, -40, 0
Backstage passes for Re:Factor, -45, 0
Backstage passes for HAXX, -50, 0
Duplicate Code, -52, 0
Long Methods, -52, 0
Ugly Variable Names, -52, 0

-------- day 56 --------
name, sellIn, quality
Ring of Cleansening Code, -46, 0
Good Wine, -54, 50
Elixir of the SOLID, -51, 0
B-DAWG Keychain, 0, 80
B-DAWG Keychain, -1, 80
Backstage passes for Re:Factor, -41, 0
Backstage passes for Re:Factor, -46, 0
Backstage passes for HAXX, -51, 0
Duplicate Code, -53, 0
Long Methods, -53, 0
Ugly Variable Names, -53, 0

-------- day 57 --------
name, sellIn, quality
Ring of Cleansening Code, -47, 0
Good Wine, -55, 50
Elixir of the SOLID, -52, 0
B-DAWG Keychain, 0, 80
B-DAWG Keychain, -1, 80
Backstage passes for Re:Factor, -42, 0
Backstage passes for Re:Factor, -47, 0
Backstage passes for HAXX, -52, 0
Duplicate Code, -54, 0
Long Methods, -54, 0
Ugly Variable Names, -54, 0

-------- day 58 --------
name, sellIn, quality
Ring of Cleansening Code, -48, 0
Good Wine, -56, 50
Elixir of the SOLID, -53, 0
B-DAWG Keychain, 0, 80
B-DAWG Keychain, -1, 80
Backstage passes for Re:Factor, -43, 0
Backstage passes for Re:Factor, -48, 0
Backstage passes for HAXX, -53, 0
Duplicate Code, -55, 0
Long Methods, -55, 0
Ugly Variable Names, -55, 0

-------- day 59 --------
name, sellIn, quality
Ring of Cleansening Code, -49, 0
Good Wine, -57, 50
Elixir of the SOLID, -54, 0
B-DAWG Keychain, 0, 80
B-DAWG Keychain, -1, 80
Backstage passes for Re:Factor, -44, 0
Backstage passes for Re:Factor, -49, 0
Backstage passes for HAXX, -54, 0
Duplicate Code, -56, 0
Long Methods, -56, 0
Ugly Variable Names, -56, 0

-------- day 60 --------
name, sellIn, quality
Ring of Cleansening Code, -50, 0
Good Wine, -58, 50
Elixir of the SOLID, -55, 0
B-DAWG Keychain, 0, 80
B-DAWG Keychain, -1, 80
Backstage passes for Re:Factor, -45, 0
Backstage passes for Re:Factor, -50, 0
Backstage passes for HAXX, -55, 0
Duplicate Code, -57, 0
Long Methods, -57, 0
Ugly Variable Names, -57, 0

-------- day 61 --------
name, sellIn, quality
Ring of Cleansening Code, -51, 0
Good Wine, -59, 50
Elixir of the SOLID, -56, 0
B-DAWG Keychain, 0, 80
B-DAWG Keychain, -1, 80
Backstage passes for Re:Factor, -46, 0
Backstage passes for Re:Factor, -51, 0
Backstage passes for HAXX, -56, 0
Duplicate Code, -58, 0
Long Methods, -58, 0
Ugly Variable Names, -58, 0

-------- day 62 --------
name, sellIn, quality
Ring of Cleansening Code, -52, 0
Good Wine, -60, 50
Elixir of the SOLID, -57, 0
B-DAWG Keychain, 0, 80
B-DAWG Keychain, -1, 80
Backstage passes for Re:Factor, -47, 0
Backstage passes for Re:Factor, -52, 0
Backstage passes for HAXX, -57, 0
Duplicate Code, -59, 0
Long Methods, -59, 0
Ugly Variable Names, -59, 0

-------- day 63 --------
name, sellIn, quality
Ring of Cleansening Code, -53, 0
Good Wine, -61, 50
Elixir of the SOLID, -58, 0
B-DAWG Keychain, 0, 80
B-DAWG Keychain, -1, 80
Backstage passes for Re:Factor, -48, 0
Backstage passes for Re:Factor, -53, 0
Backstage passes for HAXX, -58, 0
Duplicate Code, -60, 0
Long Methods, -60, 0
Ugly Variable Names, -60, 0

-------- day 64 --------
name, sellIn, quality
Ring of Cleansening Code, -54, 0
Good Wine, -62, 50
Elixir of the SOLID, -59, 0
B-DAWG Keychain, 0, 80
B-DAWG Keychain, -1, 80
Backstage passes for Re:Factor, -49, 0
Backstage passes for Re:Factor, -54, 0
Backstage passes for HAXX, -59, 0
Duplicate Code, -61, 0
Long Methods, -61, 0
Ugly Variable Names, -61, 0

-------- day 65 --------
name, sellIn, quality
Ring of Cleansening Code, -55, 0
Good Wine, -63, 50
Elixir of the SOLID, -60, 0
B-DAWG Keychain, 0, 80
B-DAWG Keychain, -1, 80
Backstage passes for Re:Factor, -50, 0
Backstage passes for Re:Factor, -55, 0
Backstage passes for HAXX, -60, 0
Duplicate Code, -62, 0
Long Methods, -62, 0
Ugly Variable Names, -62, 0

-------- day 66 --------
name, sellIn, quality
Ring of Cleansening Code, -56, 0
Good Wine, -64, 50
Elixir of the SOLID, -61, 0
B-DAWG Keychain, 0, 80
B-DAWG Keychain, -1, 80
Backstage passes for Re:Factor, -51, 0
Backstage passes for Re:Factor, -56, 0
Backstage passes for HAXX, -61, 0
Duplicate Code, -63, 0
Long Methods, -63, 0
Ugly Variable Names, -63, 0

-------- day 67 --------
name, sellIn, quality
Ring of Cleansening Code, -57, 0
Good Wine, -65, 50
Elixir of the SOLID, -62, 0
B-DAWG Keychain, 0, 80
B-DAWG Keychain, -1, 80
Backstage passes for Re:Factor, -52, 0
Backstage passes for Re:Factor, -57, 0
Backstage passes for HAXX, -62, 0
Duplicate Code, -64, 0
Long Methods, -64, 0
Ugly Variable Names, -64, 0

-------- day 68 --------
name, sellIn, quality
Ring of Cleansening Code, -58, 0
Good Wine, -66, 50
